1,1,1,'Hello everyone!','2024-04-03 12:25:02.677375','Text','Delivered','Read',NULL,NULL,101,'Edited',NULL,false,100,'https://example.com/preview1',"'{""likes"": 5, ""shares"": 2}'"
2,1,2,'Hi there!','2024-04-03 12:25:02.677375','Text','Delivered','Read',NULL,NULL,102,'Not Edited',NULL,false,200,'https://example.com/preview2',"'{""likes"": 3, ""shares"": 1}'"
3,1,3,'Hey folks!','2024-04-03 12:25:02.677375','Text','Delivered','Read',NULL,NULL,103,'Edited',NULL,false,300,'https://example.com/preview3',"'{""likes"": 4, ""shares"": 0}'"
4,2,1,'Let''s discuss our project progress.','2024-04-03 12:25:02.677375','Text','Delivered','Read',NULL,NULL,104,'Not Edited',NULL,false,400,'https://example.com/preview4',"'{""likes"": 2, ""shares"": 1}'"
5,2,2,"'Sure, I''ll provide an update.'",'2024-04-03 12:25:02.677375','Text','Delivered','Read',NULL,NULL,105,'Edited',NULL,false,500,'https://example.com/preview5',"'{""likes"": 1, ""shares"": 0}'"
6,3,3,'Does anyone need help with the homework?','2024-04-03 12:25:02.677375','Text','Delivered','Read',NULL,NULL,106,'Not Edited',NULL,false,600,'https://example.com/preview6',"'{""likes"": 3, ""shares"": 0}'"
7,3,1,"'Yes, I do. Can you explain problem 5?'",'2024-04-03 12:25:02.677375','Text','Delivered','Read',NULL,NULL,107,'Edited',NULL,false,700,'https://example.com/preview7',"'{""likes"": 2, ""shares"": 1}'"
8,4,2,'Check out this new workout routine!','2024-04-03 12:25:02.677375','Text','Delivered','Read',NULL,NULL,108,'Not Edited',NULL,false,800,'https://example.com/preview8',"'{""likes"": 4, ""shares"": 2}'"
9,4,3,'Thanks for sharing! I''ll try it out.','2024-04-03 12:25:02.677375','Text','Delivered','Read',NULL,NULL,109,'Edited',NULL,false,900,'https://example.com/preview9',"'{""likes"": 3, ""shares"": 1}'"
10,5,1,'Let''s plan our summer vacation together.','2024-04-03 12:25:02.677375','Text','Delivered','Read',NULL,NULL,110,'Not Edited',NULL,false,100,'https://example.com/preview10',"'{""likes"": 5, ""shares"": 3}'"
11,5,2,'Great idea! I suggest we go camping.','2024-04-03 12:25:02.677375','Text','Delivered','Read',NULL,NULL,111,'Edited',NULL,false,200,'https://example.com/preview11',"'{""likes"": 4, ""shares"": 2}'"
12,6,3,'Here''s a playlist for you all to enjoy.','2024-04-03 12:25:02.677375','Text','Delivered','Read',NULL,NULL,112,'Not Edited',NULL,false,300,'https://example.com/preview12',"'{""likes"": 6, ""shares"": 4}'"
13,6,1,'Thanks for sharing! I''ll listen to it.','2024-04-03 12:25:02.677375','Text','Delivered','Read',NULL,NULL,113,'Edited',NULL,false,400,'https://example.com/preview13',"'{""likes"": 2, ""shares"": 0}'"
14,7,2,'I recommend this book for our next discussion.','2024-04-03 12:25:02.677375','Text','Delivered','Read',NULL,NULL,114,'Not Edited',NULL,false,500,'https://example.com/preview14',"'{""likes"": 3, ""shares"": 1}'"
15,7,3,'Sounds interesting! Let''s read it together.','2024-04-03 12:25:02.677375','Text','Delivered','Read',NULL,NULL,115,'Edited',NULL,false,600,'https://example.com/preview15',"'{""likes"": 4, ""shares"": 2}'"
16,8,1,'Check out the latest smartphone reviews.','2024-04-03 12:25:02.677375','Text','Delivered','Read',NULL,NULL,116,'Not Edited',NULL,false,700,'https://example.com/preview16',"'{""likes"": 2, ""shares"": 1}'"
17,8,2,'I''m thinking of upgrading. Thanks for sharing!','2024-04-03 12:25:02.677375','Text','Delivered','Read',NULL,NULL,117,'Edited',NULL,false,800,'https://example.com/preview17',"'{""likes"": 3, ""shares"": 2}'"
