1,'spam','Repeated use of spam keywords',1,'2024-04-03 12:25:02.677375',1,NULL,true,30,NULL,'message',3,'message',1,'automatic','{}','192.168.0.1','Desktop'
2,'malware','Malicious content detected',2,'2024-04-03 12:25:02.677375',2,NULL,true,60,NULL,'message',5,'message',2,'automatic','{}','10.0.0.1','Laptop'
3,'virus','Potential virus detected',3,'2024-04-03 12:25:02.677375',3,NULL,true,45,NULL,'message',4,'message',3,'automatic','{}','172.16.0.1','Desktop'
4,'phishing','Suspected phishing attempt',4,'2024-04-03 12:25:02.677375',4,NULL,true,90,NULL,'message',5,'message',4,'automatic','{}','192.168.1.1','Laptop'
5,'fraud','Fraudulent activity detected',5,'2024-04-03 12:25:02.677375',5,NULL,true,60,NULL,'message',4,'message',5,'automatic','{}','10.1.1.1','Desktop'
6,'scam','Scam content detected',6,'2024-04-03 12:25:02.677375',6,NULL,true,30,NULL,'message',3,'message',6,'automatic','{}','172.16.0.2','Desktop'
7,'pharmaceuticals','Content related to pharmaceuticals',7,'2024-04-03 12:25:02.677375',7,NULL,true,90,NULL,'message',4,'message',7,'automatic','{}','192.168.2.1','Desktop'
8,'gambling','Content related to gambling',8,'2024-04-03 12:25:02.677375',8,NULL,true,60,NULL,'message',3,'message',8,'automatic','{}','10.2.2.2','Laptop'
9,'adult','Adult content detected',9,'2024-04-03 12:25:02.677375',9,NULL,true,45,NULL,'message',4,'message',9,'automatic','{}','172.16.0.3','Desktop'
10,'violence','Violent content detected',10,'2024-04-03 12:25:02.677375',10,NULL,true,30,NULL,'message',3,'message',10,'automatic','{}','192.168.3.1','Desktop'
11,'hate','Hateful content detected',11,'2024-04-03 12:25:02.677375',11,NULL,true,60,NULL,'message',4,'message',11,'automatic','{}','10.3.3.1','Laptop'
12,'harassment','Harassment detected',12,'2024-04-03 12:25:02.677375',12,NULL,true,90,NULL,'message',5,'message',12,'automatic','{}','172.16.0.4','Desktop'
13,'threatening','Threatening content detected',13,'2024-04-03 12:25:02.677375',13,NULL,true,45,NULL,'message',4,'message',13,'automatic','{}','192.168.4.1','Laptop'
14,'illegal','Illegal activity detected',14,'2024-04-03 12:25:02.677375',14,NULL,true,30,NULL,'message',3,'message',14,'automatic','{}','10.4.4.1','Desktop'
15,'contraband','Contraband content detected',15,'2024-04-03 12:25:02.677375',15,NULL,true,60,NULL,'message',4,'message',15,'automatic','{}','172.16.0.5','Desktop'
16,'copyright','Copyright violation detected',16,'2024-04-03 12:25:02.677375',16,NULL,true,90,NULL,'message',5,'message',16,'automatic','{}','192.168.5.1','Desktop'
17,'plagiarism','Plagiarism detected',17,'2024-04-03 12:25:02.677375',17,NULL,true,45,NULL,'message',4,'message',17,'automatic','{}','10.5.5.1','Laptop'
18,'fraudulent','Fraudulent content detected',18,'2024-04-03 12:25:02.677375',18,NULL,true,30,NULL,'message',3,'message',8,'automatic','{}','172.16.0.6','Desktop'
19,'phishing','Suspected phishing attempt',19,'2024-04-03 12:25:02.677375',19,NULL,true,60,NULL,'message',4,'message',9,'automatic','{}','192.168.6.1','Laptop'
20,'fake','Fake content detected',20,'2024-04-03 12:25:02.677375',20,NULL,true,90,NULL,'message',5,'message',10,'automatic','{}','10.6.6.1','Desktop'
