1,1,'message',2,1,'You have received a new message.','2024-04-03 12:25:02.677375',true,false,false,'/messages/1','high',"'{""key1"": ""value1""}'",'New Message','pending','view',2,'Mobile App','inbox','2024-04-01 00:00:00','push','mobile','en','friends',"'inbox, message'",'2024-04-01 00:00:00','inbox','app'
2,2,'mention',3,NULL,'You have been mentioned in a conversation.','2024-04-03 12:25:02.677375',false,true,false,'/conversations/123','medium',"'{""key2"": ""value2""}'",'Mention','pending','view',3,'Web App','mentions','2024-04-01 00:00:00','email','email','en','everyone',"'mentions, notifications'",'2024-04-01 00:00:00','mentions','app'
3,3,'like',4,5,'Your message has been liked.','2024-04-03 12:25:02.677375',false,true,true,'/messages/5','low',"'{""key3"": ""value3""}'",'Like Notification','read','view',4,'Mobile App','reactions','2024-04-01 00:00:00','push','mobile','en','friends','reactions','2024-04-01 00:00:00','reactions','app'
4,4,'comment',5,7,'Your post has received a new comment.','2024-04-03 12:25:02.677375',false,false,false,'/posts/7','high',"'{""key4"": ""value4""}'",'New Comment','pending','view',5,'Web App','comments','2024-04-01 00:00:00','push','mobile','en','everyone','comments','2024-04-01 00:00:00','comments','app'
5,5,'message',6,9,'You have received a new message.','2024-04-03 12:25:02.677375',true,false,false,'/messages/9','medium',"'{""key5"": ""value5""}'",'New Message','pending','view',6,'Mobile App','inbox','2024-04-01 00:00:00','push','mobile','en','friends',"'inbox, message'",'2024-04-01 00:00:00','inbox','app'
6,6,'mention',7,NULL,'You have been mentioned in a conversation.','2024-04-03 12:25:02.677375',false,true,false,'/conversations/456','low',"'{""key6"": ""value6""}'",'Mention','pending','view',7,'Web App','mentions','2024-04-01 00:00:00','email','email','en','everyone',"'mentions, notifications'",'2024-04-01 00:00:00','mentions','app'
7,7,'like',8,11,'Your message has been liked.','2024-04-03 12:25:02.677375',false,true,false,'/messages/11','high',"'{""key7"": ""value7""}'",'Like Notification','read','view',8,'Mobile App','reactions','2024-04-01 00:00:00','push','mobile','en','friends','reactions','2024-04-01 00:00:00','reactions','app'
8,8,'comment',9,13,'Your post has received a new comment.','2024-04-03 12:25:02.677375',false,false,true,'/posts/13','medium',"'{""key8"": ""value8""}'",'New Comment','pending','view',9,'Web App','comments','2024-04-01 00:00:00','push','mobile','en','everyone','comments','2024-04-01 00:00:00','comments','app'
9,9,'message',10,15,'You have received a new message.','2024-04-03 12:25:02.677375',false,false,false,'/messages/15','low',"'{""key9"": ""value9""}'",'New Message','pending','view',10,'Mobile App','inbox','2024-04-01 00:00:00','push','mobile','en','friends',"'inbox, message'",'2024-04-01 00:00:00','inbox','app'
10,10,'mention',11,NULL,'You have been mentioned in a conversation.','2024-04-03 12:25:02.677375',false,false,false,'/conversations/789','high',"'{""key10"": ""value10""}'",'Mention','pending','view',11,'Web App','mentions','2024-04-01 00:00:00','email','email','en','everyone',"'mentions, notifications'",'2024-04-01 00:00:00','mentions','app'
11,11,'like',12,17,'Your message has been liked.','2024-04-03 12:25:02.677375',true,false,false,'/messages/17','medium',"'{""key11"": ""value11""}'",'Like Notification','read','view',12,'Mobile App','reactions','2024-04-01 00:00:00','push','mobile','en','friends','reactions','2024-04-01 00:00:00','reactions','app'
12,12,'comment',13,19,'Your post has received a new comment.','2024-04-03 12:25:02.677375',false,false,false,'/posts/19','low',"'{""key12"": ""value12""}'",'New Comment','pending','view',13,'Web App','comments','2024-04-01 00:00:00','push','mobile','en','everyone','comments','2024-04-01 00:00:00','comments','app'
13,13,'message',14,21,'You have received a new message.','2024-04-03 12:25:02.677375',false,true,false,'/messages/21','high',"'{""key13"": ""value13""}'",'New Message','pending','view',14,'Mobile App','inbox',NULL,'push','mobile','en','friends',"'inbox, message'",'2024-04-01 00:00:00','inbox','app'
14,14,'mention',15,NULL,'You have been mentioned in a conversation.','2024-04-03 12:25:02.677375',false,false,false,'/conversations/101112','medium',"'{""key14"": ""value14""}'",'Mention','pending','view',15,'Web App','mentions',NULL,'email','email','en','everyone',"'mentions, notifications'",'2024-04-01 00:00:00','mentions','app'
15,15,'like',16,23,'Your message has been liked.','2024-04-03 12:25:02.677375',true,false,true,'/messages/23','low',"'{""key15"": ""value15""}'",'Like Notification','read','view',16,'Mobile App','reactions',NULL,'push','mobile','en','friends','reactions','2024-04-01 00:00:00','reactions','app'
16,16,'comment',17,25,'Your post has received a new comment.','2024-04-03 12:25:02.677375',false,false,false,'/posts/25','high',"'{""key16"": ""value16""}'",'New Comment','pending','view',17,'Web App','comments',NULL,'push','mobile','en','everyone','comments','2024-04-01 00:00:00','comments','app'
17,17,'message',18,27,'You have received a new message.','2024-04-03 12:25:02.677375',false,false,false,'/messages/27','medium',"'{""key17"": ""value17""}'",'New Message','pending','view',18,'Mobile App','inbox',NULL,'push','mobile','en','friends',"'inbox, message'",'2024-04-01 00:00:00','inbox','app'
18,18,'mention',19,NULL,'You have been mentioned in a conversation.','2024-04-03 12:25:02.677375',false,false,false,'/conversations/131415','low',"'{""key18"": ""value18""}'",'Mention','pending','view',19,'Web App','mentions',NULL,'email','email','en','everyone',"'mentions, notifications'",'2024-04-01 00:00:00','mentions','app'
19,19,'like',20,29,'Your message has been liked.','2024-04-03 12:25:02.677375',true,false,true,'/messages/29','high',"'{""key19"": ""value19""}'",'Like Notification','read','view',20,'Mobile App','reactions',NULL,'push','mobile','en','friends','reactions','2024-04-01 00:00:00','reactions','app'
20,20,'comment',1,31,'Your post has received a new comment.','2024-04-03 12:25:02.677375',true,false,false,'/posts/31','medium',"'{""key20"": ""value20""}'",'New Comment','pending','view',1,'Web App','comments',NULL,'push','mobile','en','everyone','comments','2024-04-01 00:00:00','comments','app'
